user_id;first_name;username;bio;photo_path;group_name
170063;Andrey;Surzhikov;разработчик софта в эмиграции, работы: https://surzh.com;avatars/170063.jpg;laravel_pro
219916;Kirill;alaevka;💻Fullstack web developer;avatars/219916.jpg;laravel_pro
552804;Evgenii;perin;AI First Developer | Team Lead;avatars/552804.jpg;laravel_pro
562600;Anton;ontoho;;;laravel_pro
615917;Vitaly;vitaliyMoc;;;laravel_pro
623112;엑시;exeypan;Exey Panteleev. Software Architect, Tech Enthusiast & Digital Artist. Vaporwave aesthete. github.com/exey;avatars/623112.jpg;tproger_chat
724520;Andrew;andrewganja;;avatars/724520.jpg;laravel_pro
1135960;Alexander;FZambia;;avatars/1135960.jpg;laravel_pro
1658909;იგორ;IgorFinagin;👶 32 y.o. 💻 The head of department of individual #IT solutions 🐶 Staffs lover #development #programming;avatars/1658909.jpg;laravel_pro
1796282;Kirill;Ph0en1x_wrc;;avatars/1796282.jpg;tproger_chat
3040228;wzk;q3wzeck;No-one may build their happiness on another's pain.;avatars/3040228.jpg;laravel_pro
4627228;Denis;DenisIzmaylov;www.axept.com 👉 Заказная разработка качественных программных продуктов;avatars/4627228.jpg;devops_ru
20902928;Igor;vdroog;Product Designer @ DECTA ⇢ self-aware AI ⌥ 768 Y/O;avatars/20902928.jpg;figmachat
21752120;Дмитрий;Med1c84;Backend Lead;avatars/21752120.jpg;laravel_pro
22616448;Виктор;vandesign;zendesigner, design system tengu @ Ozon;avatars/22616448.jpg;figmachat
22699136;Danila;basketbull04;Head of Backend AGIMA;avatars/22699136.jpg;laravel_pro
23509434;Андрей;adubrowskiy;Создал feelifun и chocolate promotion.;;laravel_pro
24664328;Evgeniy;KuvshinovEE;;avatars/24664328.jpg;laravel_pro
28384696;Surzzik;Surzzik_teg;;avatars/28384696.jpg;andrewgiftschat
31881101;Ivan;MrFallen;Persona non grata;avatars/31881101.jpg;laravel_pro
36787230;Maxim;vukuze;;;laravel_pro
40926574;Ovsep;Ovsep;;avatars/40926574.jpg;laravel_pro
43362802;Alibek;alibekam;;avatars/43362802.jpg;tproger_chat
45384143;Kostya;kest61;;;tproger_chat
45687867;Andrey;zloykaban;;;devops_ru
45889205;Ildar;ildar_kkk;;;laravel_pro
48233544;Саша;okunev;Продуктовый дизайнер, лид команды дизайн-системы в крупном финтехе Казахстана. Автор @slashdesigner. Также веду личный канал @okunevlive.;avatars/48233544.jpg;figmachat
50931211;D;sirotind;;avatars/50931211.jpg;laravel_pro
51238287;Julia;Julia_Band;PM @Yandex RideTech | 📍🇷🇸 | #IAmRemarkable facilitator;;tproger_chat
51274698;Даниил;ternitko;;;tproger_chat
51848647;Архив;M_pashka_archive;Сменил аккаунт. Пишите на @m_pashka;avatars/51848647.jpg;tproger_chat
53415994;Ilya;ilya189;;;laravel_pro
53465397;🅰️nimeCoder;AniCoder;🍊NodeJS developer, enthusiast | animehaze.me | opengram.dev | Love pizza & anime girls |🪄 Author @anilibrix_plus |⚡️ Like what I do? Donate!;avatars/53465397.jpg;laravel_pro
53864087;Ivan;Wizard85;Зачем-то сделал свой канал с умными и не очень мыслями https://t.me/dev_ideas;avatars/53864087.jpg;laravel_pro
54117015;Oleg;Metkie;;avatars/54117015.jpg;laravel_pro
55813776;Vlad;;;avatars/55813776.jpg;laravel_pro
56160446;Vitaliy;venuko;🛠 разработка сайтов;;laravel_pro
56470470;Vadim;vadimuxb;Геймер в ремиссии. Играю в жизнь без респаунов;avatars/56470470.jpg;laravel_pro
58343397;Степан;nezabor;CIO информационной интеграции в будущее. Зачем?🧐;avatars/58343397.jpg;laravel_pro
59878659;;;;;python_ru
60462179;~MAX 2;yiRixzP5LFphbMT;;;andrewgiftschat
60974656;;;;;rabota_chaty1
62491758;ᛉᛜ₭ᗗ;nullyoka;19 января 2038 @cirnobaka_bot;avatars/62491758.jpg;laravel_pro
63548043;Egor;jkhtdg13;;;laravel_pro
63659269;Konstantin;MihaKot;;;laravel_pro
63824660;gg;unskilledgoat;;;laravel_pro
66327043;Dmitriy;swdmi;;;tproger_chat
68363220;Aleksei;InsanusMokrassar;Kotlin developer, author of @ktgbotapi;avatars/68363220.jpg;tproger_chat
71376138;Сергей;Malyshev_Ser;;;laravel_pro
71643004;CodeLBK;codelbk;;;laravel_pro
75942726;Antony;fluffysaurrex;30, пограмист;;laravel_pro
76364948;Mr.;dkhalmatov;;;laravel_pro
